"Property Name",,"pt-BR","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Versão {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Conteúdo Protegido","Application",
"Caption","Log On","Fazer Log On","ActionDesign\Actions\Logon",
"Caption","Actions Info","Informações das Ações","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Criar Dashboard","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Organizar Dashboard","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Excluir Item","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","Você está prestes a excluir o(s) item(s) selecionado(s). Deseja continuar?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Ocultar do dashboard","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Ocultar os item(s) selecionados do dashboard","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Mostrar no dashboard","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Mostrar os item(s) selecionados no dashboard","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Excluir","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Você está prestes a excluir o(s) registro(s) selecionado(s). Deseja continuar?","ActionDesign\Actions\Delete",
"Caption","Save","Salvar","ActionDesign\Actions\Save",
"Caption","Save and Close","Salvar e Fechar","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Salvar e Novo","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Cancelar","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Diagnóstico","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","OK","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Cancelar","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Filtrar pelo Texto","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","Buscar!","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","Text to search...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Filtrar Objetos pelo Texto","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Filtro","ActionDesign\Actions\SetFilter",
