"Property Name",,"pl-PL","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Wersja {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Zawartość chroniona","Application",
"Caption","Log On","Zaloguj się","ActionDesign\Actions\Logon",
"Caption","Actions Info","Informacje o akcji","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Stwórz tablicę widoków","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Organizuj tablicę widoków","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Usuń element","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","Masz zamiar usunąć zaznaczony element(y). Czy chcesz kontynuować?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Ukryj z tablicy widoków","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Ukryj wybrany element(y) z tablicy widoków","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Pokaż na tablicy widoków","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Pokaż wybrany element(y) na tablicy widoków","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Usuń","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Masz zamiar usunąć wybrany rekord (y). Czy chcesz kontynuować?","ActionDesign\Actions\Delete",
"Caption","Save","Zapisz","ActionDesign\Actions\Save",
"Caption","Save and Close","Zapisz i Zamknij","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Zapisz i Nowy","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Anuluj","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Diagnostyka","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","OK","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Anuluj","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Filtr według tekstu","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","Znajdź!","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","Text to search...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Filtrowanie obiektów tekstowych","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Filtrowanie","ActionDesign\Actions\SetFilter",
"Caption","Unlink","Rozłącz","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","Zamierzasz rozłączyć wybrany rekord (y). Czy chcesz kontynuować?","ActionDesign\Actions\Unlink",
"Caption","Link","Połącz","ActionDesign\Actions\Link",
"Caption","Open","Otwórz","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","Wyloguj","ActionDesign\Actions\Logoff",
"Caption","New","Nowy","ActionDesign\Actions\New",
